model,assignment,question_id,emotion,personality,conscientiousness,openness,extraversion,revised,bleu,calls,prompt_tokens,completion_tokens,total_tokens
llama_3_1_8b,shared54,17502,anger,HHL,H,H,L,1,6.59,12,20543,4055,24598
llama_3_1_8b,shared54,8021,anger,HHL,H,H,L,1,10.69,11,25928,3774,29702
llama_3_1_8b,shared54,5354,anger,HHL,H,H,L,1,4.64,12,14538,4141,18679
llama_3_1_8b,shared54,15147,anger,HHL,H,H,L,1,2.78,12,12852,3652,16504
llama_3_1_8b,shared54,12433,anger,HHL,H,H,L,1,6.33,12,21418,3842,25260
llama_3_1_8b,shared54,8845,anger,HHL,H,H,L,1,0.86,12,23920,3851,27771
llama_3_1_8b,shared54,7196,anger,HHL,H,H,L,1,3.63,12,19943,3325,23268
llama_3_1_8b,shared54,10626,anger,HHL,H,H,L,1,4.65,12,26711,3793,30504
llama_3_1_8b,shared54,1832,anger,HHL,H,H,L,1,3.89,12,36344,5654,41998
llama_3_1_8b,shared54,7505,anger,HHL,H,H,L,1,4.94,11,26848,3575,30423
llama_3_1_8b,shared54,1051,anger,HHL,H,H,L,1,19.38,12,53537,6198,59735
llama_3_1_8b,shared54,10336,anger,HHL,H,H,L,1,7.75,12,12751,2967,15718
llama_3_1_8b,shared54,13145,anger,HHL,H,H,L,1,6.385,12,33566,3591,37157
llama_3_1_8b,shared54,8773,anger,HHL,H,H,L,1,1.65,11,16364,3144,19508
llama_3_1_8b,shared54,2168,anger,HHL,H,H,L,1,2.63,12,23935,3421,27356
llama_3_1_8b,shared54,6913,anger,HHL,H,H,L,1,4.37,11,16470,3481,19951
llama_3_1_8b,shared54,10311,anger,HHL,H,H,L,1,4.94,12,13790,3346,17136
llama_3_1_8b,shared54,6967,anger,HHL,H,H,L,1,8.235,11,27735,4143,31878
llama_3_1_8b,shared54,16358,anger,HHL,H,H,L,1,5.44,12,16903,4212,21115
llama_3_1_8b,shared54,12964,anger,HHL,H,H,L,1,24.62,11,12949,3257,16206
llama_3_1_8b,shared54,15035,anger,HHL,H,H,L,1,3.63,12,20166,3548,23714
llama_3_1_8b,shared54,4681,anger,HHL,H,H,L,1,4.11,11,12539,3203,15742
llama_3_1_8b,shared54,8679,anger,HHL,H,H,L,1,4.32,12,20888,3638,24526
llama_3_1_8b,shared54,4575,anger,HHL,H,H,L,1,10.72,12,16687,3421,20108
llama_3_1_8b,shared54,8081,anger,HHL,H,H,L,1,4.71,10,14543,3022,17565
llama_3_1_8b,shared54,17661,anger,HHL,H,H,L,1,5.07,12,14385,4042,18427
llama_3_1_8b,shared54,8609,anger,HHL,H,H,L,1,5.82,12,16464,4171,20635
llama_3_1_8b,shared54,14038,anger,HHL,H,H,L,1,4.84,12,29294,4003,33297
llama_3_1_8b,shared54,13087,anger,HHL,H,H,L,1,6.42,12,15481,3583,19064
llama_3_1_8b,shared54,11861,anger,HHL,H,H,L,1,0.0,10,21185,3622,24807
llama_3_1_8b,shared54,7186,anger,HHL,H,H,L,1,2.76,11,22613,3755,26368
llama_3_1_8b,shared54,4532,anger,HHL,H,H,L,1,4.99,12,33481,3937,37418
llama_3_1_8b,shared54,16696,anger,HHL,H,H,L,1,7.63,12,26053,4094,30147
llama_3_1_8b,shared54,16171,anger,HHL,H,H,L,1,12.113333333333335,12,36619,4978,41597
llama_3_1_8b,shared54,2978,anger,HHL,H,H,L,1,4.65,12,16127,3455,19582
llama_3_1_8b,shared54,1543,anger,HHL,H,H,L,1,0.92,12,25249,3889,29138
llama_3_1_8b,shared54,3592,anger,HHL,H,H,L,1,5.2,12,18710,3772,22482
llama_3_1_8b,shared54,5008,anger,HHL,H,H,L,1,4.79,11,21893,3669,25562
llama_3_1_8b,shared54,5242,anger,HHL,H,H,L,1,5.54,11,16377,4110,20487
llama_3_1_8b,shared54,13833,anger,HHL,H,H,L,1,6.18,11,11711,2578,14289
llama_3_1_8b,shared54,2081,anger,HHL,H,H,L,1,4.78,12,14984,3421,18405
llama_3_1_8b,shared54,12608,anger,HHL,H,H,L,1,7.175,12,19782,4243,24025
llama_3_1_8b,shared54,12504,anger,HHL,H,H,L,1,5.18,12,16613,3792,20405
llama_3_1_8b,shared54,15337,anger,HHL,H,H,L,1,3.37,11,37739,4892,42631
llama_3_1_8b,shared54,17338,anger,HHL,H,H,L,1,5.35,12,13870,3722,17592
llama_3_1_8b,shared54,8238,anger,HHL,H,H,L,1,5.31,12,27964,4227,32191
llama_3_1_8b,shared54,18128,anger,HHL,H,H,L,1,3.93,11,26548,3630,30178
llama_3_1_8b,shared54,376,anger,HHL,H,H,L,1,1.735,12,20978,3830,24808
llama_3_1_8b,shared54,3753,anger,HHL,H,H,L,1,5.03,12,26021,4063,30084
llama_3_1_8b,shared54,17595,anger,HHL,H,H,L,1,2.61,10,19047,2894,21941
llama_3_1_8b,shared54,8743,anger,HHL,H,H,L,1,6.39,12,24885,3607,28492
llama_3_1_8b,shared54,11146,anger,HHL,H,H,L,1,1.22,12,18147,3830,21977
llama_3_1_8b,shared54,3655,anger,HHL,H,H,L,1,5.82,12,16131,5044,21175
llama_3_1_8b,shared54,9617,anger,HHL,H,H,L,1,4.07,12,14044,3885,17929
llama_3_1_8b,shared54,14246,anger,HHL,H,H,L,1,13.29,10,19922,3043,22965
llama_3_1_8b,shared54,5182,anger,HHL,H,H,L,1,8.11,12,53366,6081,59447
llama_3_1_8b,shared54,14867,anger,HHL,H,H,L,1,7.0,12,17760,3974,21734
llama_3_1_8b,shared54,106,anger,HHL,H,H,L,1,4.66,12,17670,4213,21883
llama_3_1_8b,shared54,8630,anger,HHL,H,H,L,1,5.7,12,19706,3764,23470
llama_3_1_8b,shared54,16403,anger,HHL,H,H,L,1,4.5,9,155547,4440,159987
llama_3_1_8b,shared54,5854,anger,HHL,H,H,L,1,6.1,12,15685,3443,19128
llama_3_1_8b,shared54,16635,anger,HHL,H,H,L,1,5.6,12,17561,3586,21147
llama_3_1_8b,shared54,3486,anger,HHL,H,H,L,1,5.470000000000001,12,13959,3806,17765
llama_3_1_8b,shared54,9779,anger,HHL,H,H,L,1,5.95,12,20229,3611,23840
llama_3_1_8b,shared54,6517,anger,HHL,H,H,L,1,3.38,12,20544,4033,24577
llama_3_1_8b,shared54,12252,anger,HHL,H,H,L,1,25.52,11,37334,5074,42408
llama_3_1_8b,shared54,5293,anger,HHL,H,H,L,1,6.18,12,12694,3375,16069
llama_3_1_8b,shared54,17674,anger,HHL,H,H,L,1,4.13,12,38763,5924,44687
llama_3_1_8b,shared54,17378,anger,HHL,H,H,L,1,4.13,11,12368,3553,15921
llama_3_1_8b,shared54,18,anger,HHL,H,H,L,1,5.78,12,60240,4318,64558
llama_3_1_8b,shared54,10621,anger,HHL,H,H,L,1,5.35,12,51046,4736,55782
llama_3_1_8b,shared54,16010,anger,HHL,H,H,L,1,2.55,12,16807,4178,20985
llama_3_1_8b,shared54,638,anger,HHL,H,H,L,1,6.41,12,16440,4143,20583
llama_3_1_8b,shared54,3665,anger,HHL,H,H,L,1,4.65,12,21121,4380,25501
llama_3_1_8b,shared54,11894,anger,HHL,H,H,L,1,3.2800000000000002,12,39367,4499,43866
llama_3_1_8b,shared54,10076,anger,HHL,H,H,L,1,16.37,12,15135,4153,19288
llama_3_1_8b,shared54,7846,anger,HHL,H,H,L,1,5.75,12,16177,3469,19646
llama_3_1_8b,shared54,1898,anger,HHL,H,H,L,1,4.64,12,18458,3456,21914
llama_3_1_8b,shared54,7892,anger,HHL,H,H,L,1,2.28,12,57073,4707,61780
llama_3_1_8b,shared54,2580,anger,HHL,H,H,L,1,5.83,12,28633,4965,33598
llama_3_1_8b,shared54,2806,anger,HHL,H,H,L,1,8.17,11,17768,3418,21186
llama_3_1_8b,shared54,15924,anger,HHL,H,H,L,1,3.24,10,43814,4097,47911
llama_3_1_8b,shared54,2267,anger,HHL,H,H,L,1,5.07,6,30595,3024,33619
llama_3_1_8b,shared54,17455,anger,HHL,H,H,L,1,7.35,12,25179,3355,28534
llama_3_1_8b,shared54,4120,anger,HHL,H,H,L,1,1.7,12,14671,4125,18796
llama_3_1_8b,shared54,4207,anger,HHL,H,H,L,1,4.53,12,14945,3463,18408
llama_3_1_8b,shared54,15574,anger,HHL,H,H,L,1,12.26,12,17912,3518,21430
llama_3_1_8b,shared54,18015,anger,HHL,H,H,L,1,6.25,12,25570,3687,29257
llama_3_1_8b,shared54,5410,anger,HHL,H,H,L,1,4.13,11,32293,4224,36517
llama_3_1_8b,shared54,8685,anger,HHL,H,H,L,1,5.63,12,19152,4060,23212
llama_3_1_8b,shared54,17290,anger,HHL,H,H,L,1,5.2,12,12950,3589,16539
llama_3_1_8b,shared54,13865,anger,HHL,H,H,L,1,7.09,11,38960,5497,44457
llama_3_1_8b,shared54,6940,anger,HHL,H,H,L,1,9.37,12,14617,3860,18477
llama_3_1_8b,shared54,17671,anger,HHL,H,H,L,1,5.2,12,126521,5287,131808
llama_3_1_8b,shared54,6591,anger,HHL,H,H,L,1,2.3240000000000003,11,16250,3027,19277
llama_3_1_8b,shared54,10214,anger,HHL,H,H,L,1,5.18,12,16061,3909,19970
llama_3_1_8b,shared54,13074,anger,HHL,H,H,L,1,4.68,12,17790,3789,21579
llama_3_1_8b,shared54,12236,anger,HHL,H,H,L,1,11.45,12,26801,3788,30589
llama_3_1_8b,shared54,14355,anger,HHL,H,H,L,1,5.460000000000001,12,15238,3781,19019
llama_3_1_8b,shared54,16959,anger,HHL,H,H,L,1,5.49,12,23220,3258,26478
llama_3_1_8b,shared54,14794,anger,HHL,H,H,L,1,7.83,11,21414,3591,25005
llama_3_1_8b,shared54,3965,anger,HHL,H,H,L,1,5.0425,11,18974,3688,22662
llama_3_1_8b,shared54,8123,anger,HHL,H,H,L,1,4.07,11,17348,3391,20739
llama_3_1_8b,shared54,7362,anger,HHL,H,H,L,1,10.74,12,19470,3557,23027
llama_3_1_8b,shared54,2098,anger,HHL,H,H,L,1,5.49,12,23695,4761,28456
llama_3_1_8b,shared54,11078,anger,HHL,H,H,L,1,3.56,12,31662,4117,35779
llama_3_1_8b,shared54,689,anger,HHL,H,H,L,1,2.8600000000000003,11,113875,5185,119060
llama_3_1_8b,shared54,7540,anger,HHL,H,H,L,1,13.39,12,18385,4178,22563
llama_3_1_8b,shared54,7216,anger,HHL,H,H,L,1,4.83,12,18390,3756,22146
llama_3_1_8b,shared54,235,anger,HHL,H,H,L,1,3.81,10,41945,3406,45351
llama_3_1_8b,shared54,2326,anger,HHL,H,H,L,1,14.23,12,16917,3602,20519
llama_3_1_8b,shared54,1929,anger,HHL,H,H,L,1,4.31,9,11024,2672,13696
llama_3_1_8b,shared54,7501,anger,HHL,H,H,L,1,4.13,12,29850,4208,34058
llama_3_1_8b,shared54,2208,anger,HHL,H,H,L,1,4.73,12,20140,4123,24263
llama_3_1_8b,shared54,1029,anger,HHL,H,H,L,1,10.440000000000001,12,43370,5064,48434
llama_3_1_8b,shared54,10827,anger,HHL,H,H,L,1,5.6,10,19873,2880,22753
llama_3_1_8b,shared54,2321,anger,HHL,H,H,L,1,2.01,10,30055,4859,34914
llama_3_1_8b,shared54,16847,anger,HHL,H,H,L,1,7.87,11,11867,3118,14985
llama_3_1_8b,shared54,7798,anger,HHL,H,H,L,1,6.215,12,17045,3536,20581
llama_3_1_8b,shared54,9125,anger,HHL,H,H,L,1,5.17,12,22506,4189,26695
llama_3_1_8b,shared54,15906,anger,HHL,H,H,L,1,8.2,12,26133,4035,30168
llama_3_1_8b,shared54,7020,anger,HHL,H,H,L,1,3.69,12,13879,3473,17352
llama_3_1_8b,shared54,17669,anger,HHL,H,H,L,1,3.43,12,16964,3598,20562
llama_3_1_8b,shared54,4335,anger,HHL,H,H,L,1,3.47,12,18186,4206,22392
llama_3_1_8b,shared54,15488,anger,HHL,H,H,L,1,5.0,12,13574,3669,17243
llama_3_1_8b,shared54,7962,anger,HHL,H,H,L,1,3.13,11,54765,4805,59570
llama_3_1_8b,shared54,15498,anger,HHL,H,H,L,1,9.63,12,188154,5127,193281
llama_3_1_8b,shared54,13338,anger,HHL,H,H,L,1,3.3600000000000003,12,16578,3689,20267
llama_3_1_8b,shared54,6239,anger,HHL,H,H,L,1,17.7,11,16801,3697,20498
llama_3_1_8b,shared54,3090,anger,HHL,H,H,L,1,4.7,12,21802,4688,26490
llama_3_1_8b,shared54,3176,anger,HHL,H,H,L,1,6.73,11,77054,5483,82537
llama_3_1_8b,shared54,14124,anger,HHL,H,H,L,1,5.21,12,39352,5684,45036
llama_3_1_8b,shared54,11609,anger,HHL,H,H,L,1,3.71,12,14243,3638,17881
llama_3_1_8b,shared54,13879,anger,HHL,H,H,L,1,4.74,12,12857,3227,16084
llama_3_1_8b,shared54,13470,anger,HHL,H,H,L,1,13.21,11,16481,3421,19902
llama_3_1_8b,shared54,15303,anger,HHL,H,H,L,1,0.66,12,24763,4037,28800
llama_3_1_8b,shared54,1775,anger,HHL,H,H,L,1,6.59,12,19672,4224,23896
llama_3_1_8b,shared54,3224,anger,HHL,H,H,L,1,6.17,11,42472,3369,45841
llama_3_1_8b,shared54,1986,anger,HHL,H,H,L,1,8.88,11,34881,3777,38658
llama_3_1_8b,shared54,13193,anger,HHL,H,H,L,1,5.97,12,13129,3484,16613
llama_3_1_8b,shared54,11118,anger,HHL,H,H,L,1,3.97,12,13618,3256,16874
llama_3_1_8b,shared54,3580,anger,HHL,H,H,L,1,6.2,12,22035,4293,26328
llama_3_1_8b,shared54,8147,anger,HHL,H,H,L,1,6.3,12,76331,4554,80885
llama_3_1_8b,shared54,6278,anger,HHL,H,H,L,1,4.293333333333333,12,19115,3698,22813
llama_3_1_8b,shared54,6232,anger,HHL,H,H,L,1,4.71,12,68115,5123,73238
llama_3_1_8b,shared54,17573,anger,HHL,H,H,L,1,4.02,12,32258,4873,37131
llama_3_1_8b,shared54,14700,anger,HHL,H,H,L,1,4.92,12,55012,5088,60100
llama_3_1_8b,shared54,4593,anger,HHL,H,H,L,1,4.87,12,28228,3905,32133
llama_3_1_8b,shared54,13824,anger,HHL,H,H,L,1,5.96,12,22709,3926,26635
llama_3_1_8b,shared54,6012,anger,HHL,H,H,L,1,3.5866666666666664,12,19631,4424,24055
llama_3_1_8b,shared54,9127,anger,HHL,H,H,L,1,4.35,12,14212,3469,17681
llama_3_1_8b,shared54,15159,anger,HHL,H,H,L,1,5.54,11,27684,3456,31140
llama_3_1_8b,shared54,8185,anger,HHL,H,H,L,1,12.92,11,26179,3086,29265
llama_3_1_8b,shared54,2470,anger,HHL,H,H,L,1,5.77,12,27567,3237,30804
llama_3_1_8b,shared54,14520,anger,HHL,H,H,L,1,3.54,10,21439,3940,25379
llama_3_1_8b,shared54,18033,anger,HHL,H,H,L,1,7.473333333333333,11,25066,4473,29539
llama_3_1_8b,shared54,3208,anger,HHL,H,H,L,1,5.3,12,19334,3335,22669
llama_3_1_8b,shared54,1657,anger,HHL,H,H,L,1,8.99,12,17483,3584,21067
llama_3_1_8b,shared54,17713,anger,HHL,H,H,L,1,4.84,12,17267,3747,21014
llama_3_1_8b,shared54,483,anger,HHL,H,H,L,1,10.74,12,20945,3994,24939
llama_3_1_8b,shared54,3056,anger,HHL,H,H,L,1,9.71,12,25630,4044,29674
llama_3_1_8b,shared54,7745,anger,HHL,H,H,L,1,1.81,12,57687,4017,61704
llama_3_1_8b,shared54,5449,anger,HHL,H,H,L,1,4.23,12,23686,4095,27781
llama_3_1_8b,shared54,13317,anger,HHL,H,H,L,1,6.46,12,15474,3733,19207
llama_3_1_8b,shared54,15913,anger,HHL,H,H,L,1,3.56,12,23780,4349,28129
llama_3_1_8b,shared54,15773,anger,HHL,H,H,L,1,42.69,12,23011,3939,26950
llama_3_1_8b,shared54,7004,anger,HHL,H,H,L,1,5.0,11,16722,3470,20192
llama_3_1_8b,shared54,13141,anger,HHL,H,H,L,1,2.69,12,22108,4828,26936
llama_3_1_8b,shared54,1921,anger,HHL,H,H,L,1,4.9,11,23661,3770,27431
llama_3_1_8b,shared54,5394,anger,HHL,H,H,L,1,2.61,11,20882,3240,24122
llama_3_1_8b,shared54,12418,anger,HHL,H,H,L,1,5.77,12,17576,3953,21529
llama_3_1_8b,shared54,70,anger,HHL,H,H,L,1,29.75,12,27293,3808,31101
llama_3_1_8b,shared54,12793,anger,HHL,H,H,L,1,15.31,12,14526,4167,18693
llama_3_1_8b,shared54,8690,anger,HHL,H,H,L,1,7.04,12,18888,4540,23428
llama_3_1_8b,shared54,14909,anger,HHL,H,H,L,1,13.08,12,16979,4262,21241
llama_3_1_8b,shared54,9347,anger,HHL,H,H,L,1,10.2,11,15035,3574,18609
llama_3_1_8b,shared54,13861,anger,HHL,H,H,L,1,4.25,12,13568,3600,17168
llama_3_1_8b,shared54,15947,anger,HHL,H,H,L,1,6.2,12,30892,4907,35799
llama_3_1_8b,shared54,5072,anger,HHL,H,H,L,1,6.202,11,96038,6512,102550
llama_3_1_8b,shared54,6222,anger,HHL,H,H,L,1,4.84,11,19032,3332,22364
llama_3_1_8b,shared54,9722,anger,HHL,H,H,L,1,3.83,10,32859,3758,36617
llama_3_1_8b,shared54,7133,anger,HHL,H,H,L,1,0.0,12,14683,3936,18619
llama_3_1_8b,shared54,1916,anger,HHL,H,H,L,1,7.8,12,15935,4011,19946
llama_3_1_8b,shared54,17766,anger,HHL,H,H,L,1,4.39,12,19257,3901,23158
llama_3_1_8b,shared54,1997,anger,HHL,H,H,L,1,3.22,12,24774,3735,28509
llama_3_1_8b,shared54,10276,anger,HHL,H,H,L,1,1.5,12,14731,4041,18772
llama_3_1_8b,shared54,1873,anger,HHL,H,H,L,1,7.08,11,22090,3474,25564
llama_3_1_8b,shared54,1643,anger,HHL,H,H,L,1,4.4,12,35851,4152,40003
llama_3_1_8b,shared54,15623,anger,HHL,H,H,L,1,9.67,12,14091,3876,17967
llama_3_1_8b,shared54,16477,anger,HHL,H,H,L,1,5.605,12,14497,3739,18236
llama_3_1_8b,shared54,17403,anger,HHL,H,H,L,1,1.34,12,17052,3251,20303
llama_3_1_8b,shared54,5158,anger,HHL,H,H,L,1,4.64,10,13085,3312,16397
llama_3_1_8b,shared54,1863,anger,HHL,H,H,L,1,5.75,12,40648,5489,46137
llama_3_1_8b,shared54,16640,anger,HHL,H,H,L,1,3.47,11,15204,3220,18424
llama_3_1_8b,shared54,2625,anger,HHL,H,H,L,1,4.91,6,14795,1914,16709
llama_3_1_8b,shared54,6089,anger,HHL,H,H,L,1,10.98,12,14808,3746,18554
llama_3_1_8b,shared54,2245,anger,HHL,H,H,L,1,2.92,11,49553,3715,53268
llama_3_1_8b,shared54,2226,anger,HHL,H,H,L,1,6.18,12,19546,4137,23683
llama_3_1_8b,shared54,7707,anger,HHL,H,H,L,1,4.93,11,25702,3201,28903
llama_3_1_8b,shared54,13230,anger,HHL,H,H,L,1,3.7,11,20091,3691,23782
llama_3_1_8b,shared54,3928,anger,HHL,H,H,L,1,4.08,12,44824,5335,50159
llama_3_1_8b,shared54,8067,anger,HHL,H,H,L,1,13.69,11,20341,3500,23841
llama_3_1_8b,shared54,1302,anger,HHL,H,H,L,1,22.73,12,14751,4043,18794
llama_3_1_8b,shared54,2686,anger,HHL,H,H,L,1,4.53,12,16987,3676,20663
llama_3_1_8b,shared54,13737,anger,HHL,H,H,L,1,3.2,12,26183,4634,30817
llama_3_1_8b,shared54,17130,anger,HHL,H,H,L,1,5.67,10,24946,3690,28636
llama_3_1_8b,shared54,10366,anger,HHL,H,H,L,1,4.2,12,16656,3715,20371
llama_3_1_8b,shared54,8544,anger,HHL,H,H,L,1,4.53,12,20125,4215,24340
llama_3_1_8b,shared54,6693,anger,HHL,H,H,L,1,2.84,12,15882,3750,19632
llama_3_1_8b,shared54,10295,anger,HHL,H,H,L,1,4.01,11,19523,3765,23288
llama_3_1_8b,shared54,7821,anger,HHL,H,H,L,1,3.382,11,28279,3857,32136
llama_3_1_8b,shared54,8703,anger,HHL,H,H,L,1,9.21,10,26468,3209,29677
llama_3_1_8b,shared54,12969,anger,HHL,H,H,L,1,5.06,11,46248,5170,51418
llama_3_1_8b,shared54,4288,anger,HHL,H,H,L,1,3.93,12,51774,4482,56256
llama_3_1_8b,shared54,9830,anger,HHL,H,H,L,1,27.6,12,21765,4903,26668
llama_3_1_8b,shared54,14982,anger,HHL,H,H,L,1,43.36,12,13984,3822,17806
llama_3_1_8b,shared54,10360,anger,HHL,H,H,L,1,5.1433333333333335,11,20351,3691,24042
llama_3_1_8b,shared54,2377,anger,HHL,H,H,L,1,4.8,10,27916,3927,31843
llama_3_1_8b,shared54,305,anger,HHL,H,H,L,1,9.56,11,18040,3871,21911
llama_3_1_8b,shared54,15017,anger,HHL,H,H,L,1,4.794,10,14178,3428,17606
llama_3_1_8b,shared54,3276,anger,HHL,H,H,L,1,3.35,12,65797,6026,71823
llama_3_1_8b,shared54,2400,anger,HHL,H,H,L,1,2.92,11,46012,3783,49795
llama_3_1_8b,shared54,17617,anger,HHL,H,H,L,1,4.25,12,25907,4188,30095
llama_3_1_8b,shared54,6984,anger,HHL,H,H,L,1,4.08,12,12754,3139,15893
llama_3_1_8b,shared54,16576,anger,HHL,H,H,L,1,4.32,12,15842,3688,19530
llama_3_1_8b,shared54,4340,anger,HHL,H,H,L,1,3.63,12,30502,4058,34560
llama_3_1_8b,shared54,11436,anger,HHL,H,H,L,1,4.32,12,16405,3607,20012
llama_3_1_8b,shared54,2254,anger,HHL,H,H,L,1,4.71,11,26490,3088,29578
llama_3_1_8b,shared54,8004,anger,HHL,H,H,L,1,9.71,12,22785,3759,26544
llama_3_1_8b,shared54,12108,anger,HHL,H,H,L,1,0.27,12,14299,3597,17896
llama_3_1_8b,shared54,9338,anger,HHL,H,H,L,1,4.9,12,12785,3369,16154
llama_3_1_8b,shared54,5169,anger,HHL,H,H,L,1,4.68,12,21440,5281,26721
llama_3_1_8b,shared54,14358,anger,HHL,H,H,L,1,7.365,12,19252,4087,23339
llama_3_1_8b,shared54,17800,anger,HHL,H,H,L,1,8.51,11,16498,3563,20061
llama_3_1_8b,shared54,9912,anger,HHL,H,H,L,1,6.5,11,32357,3496,35853
llama_3_1_8b,shared54,17332,anger,HHL,H,H,L,1,8.7,12,21502,3647,25149
llama_3_1_8b,shared54,256,anger,HHL,H,H,L,1,3.755,12,21847,4775,26622
llama_3_1_8b,shared54,9810,anger,HHL,H,H,L,1,5.97,11,20143,3262,23405
llama_3_1_8b,shared54,3394,anger,HHL,H,H,L,1,6.02,12,23156,3995,27151
llama_3_1_8b,shared54,4400,anger,HHL,H,H,L,1,3.01,12,20302,3653,23955
llama_3_1_8b,shared54,8666,anger,HHL,H,H,L,1,3.1,12,26030,3937,29967
llama_3_1_8b,shared54,3782,anger,HHL,H,H,L,1,4.08,11,26276,3811,30087
llama_3_1_8b,shared54,3507,anger,HHL,H,H,L,1,2.61,10,18860,4084,22944
llama_3_1_8b,shared54,5093,anger,HHL,H,H,L,1,5.08,11,16842,2733,19575
llama_3_1_8b,shared54,8924,anger,HHL,H,H,L,1,6.08,12,38965,4297,43262
llama_3_1_8b,shared54,9232,anger,HHL,H,H,L,1,0.0,12,17140,3439,20579
llama_3_1_8b,shared54,6901,anger,HHL,H,H,L,1,5.94,12,15297,3572,18869
llama_3_1_8b,shared54,11235,anger,HHL,H,H,L,1,6.25,12,16886,4464,21350
llama_3_1_8b,shared54,6671,anger,HHL,H,H,L,1,13.79,9,24922,3918,28840
llama_3_1_8b,shared54,8650,anger,HHL,H,H,L,1,5.73,12,16799,3250,20049
llama_3_1_8b,shared54,16561,anger,HHL,H,H,L,1,0.52,9,11286,2324,13610
llama_3_1_8b,shared54,16008,anger,HHL,H,H,L,1,4.77,12,26951,3993,30944
llama_3_1_8b,shared54,8228,anger,HHL,H,H,L,1,4.44,11,24313,3670,27983
llama_3_1_8b,shared54,1664,anger,HHL,H,H,L,1,6.52,12,29396,4563,33959
llama_3_1_8b,shared54,3024,anger,HHL,H,H,L,1,4.37,12,14119,3470,17589
llama_3_1_8b,shared54,9066,anger,HHL,H,H,L,1,3.2,11,15908,3357,19265
llama_3_1_8b,shared54,1444,anger,HHL,H,H,L,1,5.28,11,25937,3787,29724
llama_3_1_8b,shared54,116,anger,HHL,H,H,L,1,6.4350000000000005,12,58717,4425,63142
llama_3_1_8b,shared54,10929,anger,HHL,H,H,L,1,7.92,12,239089,7096,246185
llama_3_1_8b,shared54,4286,anger,HHL,H,H,L,1,4.08,12,16115,4080,20195
llama_3_1_8b,shared54,8583,anger,HHL,H,H,L,1,4.53,11,21956,3701,25657
llama_3_1_8b,shared54,5294,anger,HHL,H,H,L,1,4.84,12,33346,3988,37334
llama_3_1_8b,shared54,14478,anger,HHL,H,H,L,1,3.7,12,17366,3715,21081
llama_3_1_8b,shared54,18077,anger,HHL,H,H,L,1,0.0,11,15778,3397,19175
llama_3_1_8b,shared54,14014,anger,HHL,H,H,L,1,3.12,12,14530,3050,17580
llama_3_1_8b,shared54,316,anger,HHL,H,H,L,1,6.45,11,29024,4586,33610
llama_3_1_8b,shared54,2465,anger,HHL,H,H,L,1,4.406666666666666,12,29514,3991,33505
llama_3_1_8b,shared54,4884,anger,HHL,H,H,L,1,2.67,10,20860,3661,24521
llama_3_1_8b,shared54,17877,anger,HHL,H,H,L,1,1.82,11,16694,3455,20149
llama_3_1_8b,shared54,1180,anger,HHL,H,H,L,1,4.5,12,27804,4044,31848
llama_3_1_8b,shared54,12098,anger,HHL,H,H,L,1,6.17,11,17242,3869,21111
llama_3_1_8b,shared54,18105,anger,HHL,H,H,L,1,4.785,12,17243,3777,21020
llama_3_1_8b,shared54,4852,anger,HHL,H,H,L,1,4.5,12,64528,5718,70246
llama_3_1_8b,shared54,14083,anger,HHL,H,H,L,1,7.09,12,20912,3514,24426
llama_3_1_8b,shared54,4176,anger,HHL,H,H,L,1,4.21,11,23095,4439,27534
llama_3_1_8b,shared54,1370,anger,HHL,H,H,L,1,6.87,12,37352,4598,41950
llama_3_1_8b,shared54,10101,anger,HHL,H,H,L,1,9.62,12,20818,5405,26223
llama_3_1_8b,shared54,11948,anger,HHL,H,H,L,1,22.07,11,23192,4229,27421
llama_3_1_8b,shared54,1307,anger,HHL,H,H,L,1,3.19,11,13357,3826,17183
llama_3_1_8b,shared54,11724,anger,HHL,H,H,L,1,7.9,12,16588,3634,20222
llama_3_1_8b,shared54,6883,anger,HHL,H,H,L,1,2.85,12,31747,4071,35818
llama_3_1_8b,shared54,8176,anger,HHL,H,H,L,1,3.55,12,18766,3844,22610
llama_3_1_8b,shared54,3368,anger,HHL,H,H,L,1,4.66,12,12251,2751,15002
llama_3_1_8b,shared54,11589,anger,HHL,H,H,L,1,7.88,10,35455,3913,39368
llama_3_1_8b,shared54,13316,anger,HHL,H,H,L,1,5.404999999999999,12,23763,3695,27458
llama_3_1_8b,shared54,5064,anger,HHL,H,H,L,1,5.78,12,271060,7297,278357
llama_3_1_8b,shared54,7757,anger,HHL,H,H,L,1,5.53,11,13124,3484,16608
llama_3_1_8b,shared54,5324,anger,HHL,H,H,L,1,9.226666666666667,12,31126,4051,35177
llama_3_1_8b,shared54,5801,anger,HHL,H,H,L,1,5.455,12,14861,3234,18095
llama_3_1_8b,shared54,13510,anger,HHL,H,H,L,1,7.03,10,14896,3132,18028
llama_3_1_8b,shared54,812,anger,HHL,H,H,L,1,3.98,12,14277,3401,17678
llama_3_1_8b,shared54,5877,anger,HHL,H,H,L,1,6.508333333333333,12,45197,5989,51186
llama_3_1_8b,shared54,10885,anger,HHL,H,H,L,1,6.09,12,16913,4575,21488
llama_3_1_8b,shared54,13491,anger,HHL,H,H,L,1,3.7199999999999998,12,19029,3822,22851
llama_3_1_8b,shared54,8131,anger,HHL,H,H,L,1,5.6,12,25648,6524,32172
